object_number,split,pupil_tier,creator,title,n_tiles,z_B_tile,z_B_fixed_refit,rank_z_B_tile,tile_iqr_sigma,support_grad_mag_mean,med_grad_mag_mean,mean_grad_mag_mean,iqr_grad_mag_mean,z_grad_mag_mean,support_grad_mag_std,med_grad_mag_std,mean_grad_mag_std,iqr_grad_mag_std,z_grad_mag_std,support_grad_orient_entropy,med_grad_orient_entropy,mean_grad_orient_entropy,iqr_grad_orient_entropy,z_grad_orient_entropy,support_laplacian_var,med_laplacian_var,mean_laplacian_var,iqr_laplacian_var,z_laplacian_var,support_lbp_entropy,med_lbp_entropy,mean_lbp_entropy,iqr_lbp_entropy,z_lbp_entropy,support_glcm_contrast,med_glcm_contrast,mean_glcm_contrast,iqr_glcm_contrast,z_glcm_contrast,support_lab_chroma_mean,med_lab_chroma_mean,mean_lab_chroma_mean,iqr_lab_chroma_mean,z_lab_chroma_mean,support_hue_circ_std,med_hue_circ_std,mean_hue_circ_std,iqr_hue_circ_std,z_hue_circ_std
SK-A-2507,pupil,tier1,Gerbrand van den Eeckhout,The Last Supper,20,0.50357618,0.66598455,57,1.09685057,20,0.09688589,0.10326044,0.06477656,0.29164875,20,0.091029737,0.095650682,0.04852608,0.52066254,20,2.9867541,2.981356,0.019076939,0.48648664,20,0.0012521056,0.0017494636,0.0015361142,-0.48265277,20,3.2109601,3.1973086,0.030126967,0.98275584,20,0.5212201,0.68834203,0.48368403,-0.29105329,20,10.272672,10.143794,8.2235586,0.09806551,18,0.12214304,0.11602616,0.092788222,-0.37789202
SK-A-2627,pupil,tier1,Gerrit Dou,"Oude vrouw lezend in een lectionarium; zogenaamd portret van Rembrandts moeder, Neeltgen Willemsdr van Zuijdtbroeck (gest 1640)",20,0.75093338,0.45626360,30,1.03997921,20,0.058754305,0.07878716,0.056794658,-0.79537638,20,0.041400403,0.064230548,0.045534409,-0.91065855,20,2.9778138,2.9732245,0.016738896,0.26835462,20,0.00052923847,0.0013723413,0.0014837989,-0.73381541,20,3.1750529,3.1655619,0.035726494,0.54700332,20,0.30105408,0.53194593,0.39571221,-0.71764914,20,9.8835775,12.58814,15.547477,0.03861415,20,0.094012718,0.11622999,0.064297785,-1.27399439
SK-A-3066,cohort,,,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",20,1.44840260,0.87854440,10,2.44647705,20,0.13573749,0.13601892,0.10939306,1.54325043,20,0.099402585,0.12078718,0.090424985,0.79963078,20,2.9884335,2.979684,0.016344812,0.54771417,20,0.0090656762,0.0097969193,0.014524994,2.80734980,20,3.0959696,3.0943208,0.11008831,-0.42700492,20,1.6738773,1.8928407,2.3800336,2.30815339,20,10.183801,10.968536,7.6948482,0.08693698,20,0.14166554,0.13958172,0.071732837,0.25152021
SK-A-3106,pupil,tier1,Nicolaes Maes,Portrait of a young Woman,20,0.99467125,0.76064890,19,0.95598639,20,0.12834065,0.15279523,0.042333864,1.18833636,20,0.12175702,0.14354396,0.04882542,1.40684425,20,2.9827633,2.9750611,0.013829173,0.38911751,20,0.0022003384,0.0037417502,0.0014778403,-0.15318604,20,3.1807666,3.1798008,0.014902022,0.61634218,20,0.86616575,1.3950699,0.47070753,0.37731680,20,5.19573,6.9720628,6.5442715,-0.67766069,18,0.076401363,0.068448305,0.047843337,-1.83501093
SK-A-3138,cohort,,,Titus in monniksdracht,20,0.50794605,0.81075045,56,0.63191741,20,0.069736924,0.076992609,0.026633993,-0.50004081,20,0.059394709,0.065725447,0.035672483,-0.40503312,20,2.9803233,2.9767805,0.019270538,0.34029213,20,0.0010581898,0.0014473959,0.0010748253,-0.57162006,20,3.1848167,3.1772417,0.029719165,0.69492779,20,0.42306105,0.48512403,0.26041051,-0.49894011,20,5.6275824,7.3533762,11.251574,-0.63723487,16,0.12597892,0.18143843,0.11419908,-0.26362575
SK-A-3254,pupil,tier1,Nicolaes Maes,Groentemarkt,20,0.93641955,0.99784695,21,0.37182774,20,0.12935786,0.13472027,0.014420355,1.21733417,20,0.085600776,0.087438978,0.01387992,0.36409008,20,2.9920057,2.9914586,0.005374829,0.61461756,20,0.002985041,0.0031656264,0.00086271911,0.11946155,20,3.2065504,3.2021253,0.020254297,0.92924094,20,0.88169594,0.9326128,0.17720568,0.40740825,20,16.412651,18.519125,6.3151611,1.03621727,20,0.080498104,0.087780381,0.02733664,-1.70450765
SK-A-3276,cohort,,,Jeremiah Lamenting the Destruction of Jerusalem,20,0.55314350,0.55427652,51,0.98678090,20,0.080271067,0.10229213,0.035408485,-0.18743411,20,0.074328849,0.095285731,0.047905812,0.04012905,20,2.9894219,2.9867861,0.01084516,0.57326229,20,0.0023710918,0.0065385983,0.0025334623,-0.09658490,20,3.183605,3.1738451,0.02902538,0.67912326,20,0.62523449,1.4334956,0.49760516,-0.09211304,20,7.04381,11.365746,18.109404,-0.40878037,19,0.16903096,0.14843145,0.11371985,1.19843525
SK-A-3340,cohort,,,Borstbeeld van een man in oosterse kleding,20,0.82652870,0.35750491,26,2.08020150,20,0.13003461,0.14265594,0.07187109,1.34216665,20,0.10133892,0.11899917,0.077224279,0.86084967,20,2.9896511,2.9776162,0.0067381268,0.57919489,20,0.0051831364,0.0089245391,0.0060772427,0.93308711,20,3.1486486,3.1399682,0.048463299,0.23348835,20,1.0955484,1.8481943,1.2128758,0.86502431,20,14.776062,16.630325,11.168897,0.82589269,20,0.11942258,0.13031599,0.066508998,-0.48137629
SK-A-3451,pupil,tier1,Govert Flinck,Shepherd,20,0.49183932,0.61826930,59,1.42880364,20,0.10030506,0.11810213,0.035588509,0.38911970,20,0.092965171,0.096236727,0.045447799,0.57648090,20,2.9929351,2.9903628,0.0117885,0.63729393,20,0.0027004246,0.0044389374,0.0044520576,0.02057060,20,3.1683328,3.1584804,0.038569677,0.46545184,20,0.74950269,1.0663157,0.92504247,0.15126929,20,13.915068,15.807601,11.177592,0.65460153,20,0.11473349,0.11072312,0.060589531,-0.61392610
SK-A-3477,cohort,,,Joseph telling his dreams,20,0.93052332,1.26878550,22,1.00697321,20,0.11463296,0.13137478,0.07041418,0.83840634,20,0.077460524,0.093410498,0.064136534,0.13311685,20,2.9963188,2.9929664,0.008281025,0.75363611,20,0.0022845308,0.0029143542,0.0031948321,-0.12756265,20,3.2058552,3.2063884,0.0099885902,0.97513765,20,0.70322283,0.92325397,0.85885865,0.06337657,20,16.702497,16.680995,5.9157512,1.15734933,20,0.083376708,0.085995952,0.02748382,-1.82420855
